ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.8725,0.9287,0.8825,0.8012,0.8394,0.8199,0.8156,0.01000,1.0000,5.0,0.5,13.08,65,bw 
0.8600,0.9249,0.8700,0.7940,0.8222,0.8079,0.8033,0.01000,1.0000,5.0,0.4,9.42,59,bw 
0.8475,0.9152,0.8625,0.7878,0.8022,0.7949,0.7902,0.01000,1.0000,5.0,0.3,9.21,58,bw 
0.8275,0.9001,0.8425,0.7508,0.7683,0.7595,0.7539,0.01000,1.0000,5.0,0.2,9.65,52,bw 
0.8200,0.8962,0.8375,0.7375,0.7617,0.7494,0.7435,0.01000,1.0000,5.0,0.1,6.99,43,bw 
0.7100,0.8530,0.7350,0.5725,0.6956,0.6280,0.6186,0.01000,5.0000,5.0,1.0,18.79,104,bw 
0.8425,0.9104,0.8550,0.7456,0.7978,0.7708,0.7653,0.01000,5.0000,5.0,0.9,17.71,102,bw 
0.8200,0.9005,0.8350,0.7045,0.7972,0.7480,0.7418,0.01000,5.0000,5.0,0.8,17.31,99,bw 
0.9025,0.9430,0.9050,0.8119,0.9089,0.8577,0.8542,0.01000,5.0000,5.0,0.7,16.82,97,bw 
0.9950,0.9955,0.9950,0.9895,0.9900,0.9897,0.9895,0.01000,5.0000,5.0,0.6,16.43,94,bw 
0.9775,0.9911,0.9775,0.9522,0.9950,0.9731,0.9725,0.01000,5.0000,5.0,0.5,13.68,92,bw 
0.9750,0.9906,0.9750,0.9474,1.0000,0.9730,0.9723,0.01000,5.0000,5.0,0.4,14.55,88,bw 
0.9750,0.9906,0.9750,0.9474,1.0000,0.9730,0.9723,0.01000,5.0000,5.0,0.3,13.13,80,bw 
0.7800,0.8761,0.7950,0.6725,0.7744,0.7199,0.7129,0.01000,5.0000,5.0,0.2,12.62,74,bw 
0.7400,0.8579,0.7625,0.6283,0.7250,0.6732,0.6651,0.01000,5.0000,5.0,0.1,12.83,72,bw 
0.6550,0.8173,0.6650,0.5055,0.7144,0.5921,0.5810,0.01000,10.0000,5.0,1.0,20.30,111,bw 
0.7100,0.8383,0.7100,0.5518,0.7167,0.6235,0.6136,0.01000,10.0000,5.0,0.9,20.18,109,bw 
0.7675,0.8748,0.7725,0.6353,0.7550,0.6900,0.6822,0.01000,10.0000,5.0,0.8,20.93,107,bw 
0.7375,0.8552,0.7550,0.5797,0.6911,0.6305,0.6212,0.01000,10.0000,5.0,0.7,18.03,104,bw 
0.8400,0.9065,0.8450,0.7334,0.7856,0.7586,0.7528,0.01000,10.0000,5.0,0.6,18.29,103,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,10.0000,5.0,0.5,17.42,100,bw 
0.9725,0.9883,0.9725,0.9421,0.9950,0.9678,0.9671,0.01000,10.0000,5.0,0.4,16.48,97,bw 
0.9625,0.9839,0.9625,0.9218,0.9817,0.9508,0.9496,0.01000,10.0000,5.0,0.3,17.41,96,bw 
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.01000,10.0000,5.0,0.2,16.63,92,bw 
0.7975,0.8982,0.8150,0.6850,0.8361,0.7531,0.7468,0.01000,10.0000,5.0,0.1,13.40,84,bw 
0.3500,0.6529,0.3500,0.2535,0.8461,0.3901,0.3681,0.01000,50.0000,5.0,1.0,28.86,141,bw 
0.4350,0.7119,0.4350,0.3105,0.8483,0.4546,0.4360,0.01000,50.0000,5.0,0.9,22.67,131,bw 
